Keyword Text,Competition,Competition Index,Search Volume,Low Top Page Bid,High Top Page Bid
frontier ai,LOW,21,2240000,0.52,2.21
open artificial intelligence,LOW,15,1220000,0.09,1.40
artificial intelligence,LOW,25,823000,0.64,4.79
artificial ai,LOW,25,823000,0.64,4.79
claude ai,LOW,26,673000,0.77,3.32
ai chatbot,LOW,28,673000,0.41,2.38
ai chatbot online,LOW,33,368000,0.37,2.06
online chat with ai,LOW,33,368000,0.37,2.06
meta artificial intelligence,LOW,7,246000,1.10,2.94
anthropic,LOW,2,165000,1.04,8.20
anthropic's,LOW,2,165000,1.04,8.20
free ai,MEDIUM,58,110000,0.87,5.09
free artificial intelligence,MEDIUM,58,110000,0.87,5.09
ai agency,MEDIUM,51,90500,0.35,21.56
ai agent,MEDIUM,51,90500,0.35,21.56
artificial intelligence agency,MEDIUM,51,90500,0.35,21.56
scaling ai,LOW,4,90500,2.85,8.98
ai tool,MEDIUM,57,74000,0.69,7.34
ai news,LOW,3,74000,1.00,5.12
ai app,HIGH,67,74000,1.06,4.01
artificial intelligence news,LOW,3,74000,1.00,5.12
ai application,HIGH,67,74000,1.06,4.01
artificial intelligence tools,MEDIUM,57,74000,0.69,7.34
artificial intelligence apps,HIGH,67,74000,1.06,4.01
tools ai,MEDIUM,57,74000,0.69,7.34
ai talk to,LOW,25,74000,0.57,2.48
tool ai,MEDIUM,57,74000,0.69,7.34
ai for news,LOW,3,74000,1.00,5.12
ai assist,LOW,15,49500,1.53,9.16
best ai,MEDIUM,62,40500,0.58,5.20
generative ai tools,MEDIUM,38,40500,2.36,9.61
generative ai tool,MEDIUM,38,40500,2.36,9.61
ai website,MEDIUM,55,33100,1.09,5.00
artificial intelligence website,MEDIUM,55,33100,1.09,5.00
ai language model,LOW,9,33100,2.03,9.35
ai tech,LOW,32,33100,0.25,1.01
ai web,MEDIUM,55,33100,1.09,5.00
artificial intelligence search,MEDIUM,54,33100,0.19,1.64
