Keyword Text,Competition,Competition Index,Search Volume,Low Top Page Bid,High Top Page Bid
protein powder,HIGH,100,246000,0.94,2.99
whey products,HIGH,100,135000,1.00,2.18
protein whey protein,HIGH,100,135000,1.00,2.18
whey protein powder,HIGH,94,110000,0.86,2.10
best protein powder,HIGH,100,110000,0.36,1.53
protein powder whey protein,HIGH,94,110000,0.86,2.10
protein powder for muscle gain,LOW,10,74000,0.53,1.75
muscle building protein powder,LOW,10,74000,0.53,1.75
protein supplements for muscle gain,LOW,10,74000,0.53,1.75
muscle growth protein powder,LOW,10,74000,0.53,1.75
drink protein,HIGH,100,60500,1.45,2.55
iso whey protein,HIGH,100,40500,1.01,2.75
protein powder for weight loss,HIGH,90,40500,0.30,2.09
best protein shakes,HIGH,100,40500,0.34,2.57
protein supplements for weight loss,HIGH,90,40500,0.30,2.09
fat loss protein powder,HIGH,90,40500,0.30,2.09
top protein drinks,HIGH,100,40500,0.34,2.57
optimum nutrition nutrition,HIGH,100,40500,0.06,1.39
option nutrition,HIGH,100,40500,0.06,1.39
gold standard whey protein,HIGH,100,27100,0.30,1.61
protein supplements,HIGH,93,27100,0.23,0.62
best protein powder for muscle gain,HIGH,100,27100,0.40,1.63
best protein powder for weight loss,HIGH,100,27100,0.27,1.83
cleanest protein powder,HIGH,100,27100,0.69,3.47
best protein powder for building muscle,HIGH,100,27100,0.40,1.63
whey protein concentrate,LOW,23,27100,0.67,1.99
protein shakes for muscle gain,LOW,12,27100,0.55,2.18
best protein supplement for muscle gain,HIGH,100,27100,0.40,1.63
protein powder supplement,HIGH,93,27100,0.23,0.62
best protein supplement for weight loss,HIGH,100,27100,0.27,1.83
good protein powder for muscle gain,HIGH,100,27100,0.40,1.63
best protein powder for fat loss,HIGH,100,27100,0.27,1.83
healthiest protein powder for weight loss,HIGH,100,27100,0.27,1.83
protein drinks for muscle gain,LOW,12,27100,0.55,2.18
protein and supplements,HIGH,93,27100,0.23,0.62
best rated protein powder for weight loss,HIGH,100,27100,0.27,1.83
best protein shake for muscle growth,HIGH,100,27100,0.40,1.63
best protein powder for women,HIGH,100,22200,0.33,1.73
